,company_name,status,country_code,state_code,days_in_op,first_funding_dayinop,sa_funded_daysop,cr_funded_daysop,ag_funded_daysop,ve_funded_daysop,CA,NY,MA,TX,WA,founded_month,ave_inf_y,sa_raised_amount_usd_adj,ag_raised_amount_usd_adj,ve_raised_amount_usd_adj,cr_raised_amount_usd_adj,software,Biotech,health,web,mobile,enterprise,hardware,advertising,security,manufacturing,social,semiconductor,medical,consulting,education,search,messaging,news,transportation,fashion
7920,PropertyBridge,acquired,USA,CA,4720.0,1126.0,1126.0,0.0,0.0,0.0,1,0,0,0,0,1,17.58181818,1460000.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7921,Proposal Software,operating,USA,CT,10199.0,9950.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,10.94949495,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7923,Prosero,operating,USA,GA,6546.0,2210.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,15.46464646,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
7925,Prosetta,operating,USA,CA,5085.0,1966.0,1966.0,0.0,0.0,0.0,1,0,0,0,0,1,17.16969697,1420000.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7926,ProspX,operating,USA,TX,3989.0,1444.0,1444.0,0.0,0.0,3057.0,0,0,0,1,0,1,18.72727273,5070000.0,0.0,6433161.54,0.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7927,ProStor Systems,acquired,USA,CO,4234.0,550.0,0.0,0.0,0.0,0.0,0,0,0,0,0,5,18.08080808,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
7929,Protagenic Therapeutics,operating,USA,NY,4355.0,2450.0,0.0,0.0,2450.0,0.0,0,1,0,0,0,1,18.08080808,0.0,281250.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7932,Protea Biosciences Group,operating,USA,WV,5450.0,3145.0,0.0,0.0,0.0,3978.0,0,0,0,0,0,1,16.88888889,0.0,0.0,140000.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7933,Protean Electric,operating,USA,MI,19330.0,18087.0,0.0,0.0,0.0,18087.0,0,0,0,0,0,1,2.090909091,0.0,0.0,10080000.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7934,Protection One,acquired,USA,KS,10199.0,9871.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,10.94949495,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
7935,Protection Plus,operating,USA,GA,4355.0,2665.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,18.08080808,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7936,Protego Networks,acquired,USA,CA,5085.0,745.0,0.0,0.0,0.0,0.0,1,0,0,0,0,1,17.16969697,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
7937,Protein Forest,acquired,USA,MA,5085.0,689.0,0.0,0.0,0.0,0.0,0,0,1,0,0,1,17.16969697,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7938,PROTEIN LOUNGE,operating,USA,CA,4720.0,3086.0,0.0,0.0,0.0,0.0,1,0,0,0,0,1,17.58181818,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
